title,rating,recommendation,date,position,department,location,pros,cons,suggestions,Arbeitsatmosphäre_comment,Work-Life-Balance_comment,Gehalt/Sozialleistungen_comment,Kollegenzusammenhalt_comment,Umgang mit älteren Kollegen_comment,Vorgesetztenverhalten_comment,Arbeitsatmosphäre_rating,Image_rating,Work-Life-Balance_rating,Karriere/Weiterbildung_rating,Gehalt/Sozialleistungen_rating,Umwelt-/Sozialbewusstsein_rating,Kollegenzusammenhalt_rating,Umgang mit älteren Kollegen_rating,Vorgesetztenverhalten_rating,Arbeitsbedingungen_rating,Kommunikation_rating,Gleichberechtigung_rating,Interessante Aufgaben_rating,Image_comment,Karriere/Weiterbildung_comment,Umwelt-/Sozialbewusstsein_comment,Arbeitsbedingungen_comment,Kommunikation_comment,Gleichberechtigung_comment,Interessante Aufgaben_comment
Ein schrecklicher Arbeitgeber ! Ich habe in Frankfurt im IPZ am Flughafen gearbeitet paar Jahre.,"2,2",Nicht empfohlen,Oktober 2025,,,,Gehalt kommt Pünktlich,,,Angespannt die stehen mit der Peitsche hinter Einem,Mit Teilzeit fünf Tage Woche im Frühdienst und Nachts 4 Tage aber das fühlt sich wie 5 an,Schlecht! Ist halt Teilzeit und Überstunden werden nicht bezahlt,Ja müssen die sonst werden sie gefressen,Werden wie 20 jährige behandelt und es wird die selbe Leistung erwartet,Unmenschlich,2,1,2,2,3,2,4,1,2,3,2,3,1,,,,,,,
Nicht zufrieden,"4,0",Nicht empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,Er ist nett und freundlich und hilfsbereit,Das er einem keine Chance gibt sich richtig zu beweisen,Jemanden mehr zutrauen,,,,,,,5,3,4,3,3,5,5,5,3,3,5,3,5,,,,,,,
Wenn ich was besseres finde bin ich weg,"2,8",Nicht empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,Sie zahlen pünktlich,Der Arbeitgeber behandelt das Personal wie wegwerfware,Seine Personalpolitik überarbeiten,,,,,,,2,2,1,2,3,5,4,3,3,3,3,4,2,,,,,,,
Wir suchen die besten Arbeitgeber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"2,0",Empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,,,,Gut,,,,,,5,,,,,,,,,,,,,,,,,,,
Sehr positiver Bewerbungsprozess,"5,0",Empfohlen,Oktober 2025,,,,> Ich finde die Professionalität und Freundlichkeit des Teams sehr gut.,Ich habe keinen negativen Eindruck. Alles war sehr gut organisiert.,> Ich hatte keine Verbesserungsvorschläge. Alles war sehr gut organisiert.,"Alles war super, vielen Dank für die freundliche Kommunikation!",Die Work-Life-Balance scheint ausgewogen und fair zu sein.,Gehalt und Sozialleistungen wirken fair und angemessen.,> Der Zusammenhalt scheint sehr gut zu sein.,Der Umgang mit älteren Kollegen scheint respektvoll und fair zu sein.,Das Verhalten der Vorgesetzten war professionell und respektvoll.,1,1,1,1,1,1,1,1,1,1,1,1,1,Das Unternehmensimage ist sehr positiv und professionell.,Karriere- und Weiterbildungsmöglichkeiten scheinen gut organisiert und förderlich zu sein.,Das Umwelt- und Sozialbewusstsein des Unternehmens scheint sehr gut ausgeprägt zu sein.,Die Arbeitsbedingungen wirken professionell und angenehm.,Die Kommunikation war sehr freundlich und hilfreich,Gleichberechtigung wird offensichtlich ernst genommen.,Die Aufgaben wirken interessant und abwechslungsreich.
"Zustellung Köln ZSP Brühl - Falsche Einsatzpläne, Standortleitung überfordert, hohe Fluktuation","1,0",Nicht empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,Paar gute Kollegen gibt es,"Jeder darf anscheinend ausbilden, auch wenn die menschlich Totalausfälle sind und Leute deswegen gehen, Standortleiter macht Pläne ohne Sinn und Verstand, flexen nach Feiertagen, bei der Post ist alles möglich und Jeder wird genommen","Standortleitung ersetzen , Ausbilder einsetzen die was taugen, neue Leute motivieren und nicht verheizen",,,,,,Da werden Leute hingesetzt die nicht in der Lage sind eine Woche lang einen korrekten Einsatzplan zu erstellen,,,,,5,,,,5,,,,5,,,,,,,
Ich bin sehr zufrieden mit meinem Arbeitgeber. Die Arbeit macht Spaß und das Arbeitsklima ist hervorragend,"5,0",Empfohlen,Oktober 2025,,,,Ich bin sehr zufrieden mit meinem Arbeitgeber. Die Arbeit macht Spaß und das Arbeitsklima ist hervorragend,Ich bin sehr zufrieden mit meinem Arbeitgeber. Die Arbeit macht Spaß und das Arbeitsklima ist hervorragend,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,
perfekte Zusammenarbeit,"4,7",Empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,die einwandfreie Kommunikation und sofortige Beantwortung aller meiner Fragen und sein perfektes Verhalten.,Nichts,besserer Service im Callcenter,,,,,,,5,5,3,4,5,5,5,5,5,5,4,5,5,,,,,,,
"Sehr freundlich, sehr nette Personal, sehr hilfsbereit,","5,0",Empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,"Sehr ordentlich und freundlich, seriös und kompetent",nicht,"Die Arbeitgeber ist bestes von ganzem Welt, seriös und sicher",Sehr gut,Superrrr,Sehr gut,"Sehr freundlich, sehr ordentlich",Sehr freundlich,Sehr freundlich,1,1,1,1,1,1,1,1,1,1,1,1,1,Gut,Sehr gut,Sehr gut,Sehr ordentlich und seriös,Sehr freundlich,Gut,Sehr ordentlich
"Schlechteste Arbeitgeber, den ich je erlebt habe","1,0",Nicht empfohlen,Oktober 2025,,,,Nichts,Dass die Belastung einfach zu hoch ist durch den ganzen Paket Konum egal in welchem Bereich,"Bewerbungsgespräche führen, bevor man irgendwen einstellt und nur Leute in die Führungsposition setzen, die es auch hinbekommen",Keine Reinigung der Standortes,Ich stehe kurz vor dem Burn out,"Nicht mal ein Bewerbungsgespräch gehabt, wo man Sachen absprechen konnte","Kollegen machen, was sie wollen",,Chef ist gar nicht erreichbar,1,1,1,1,1,1,1,1,1,1,1,1,1,,,Viel zu viele Pakete,Viel zu viel Belastung,Chef kümmert sich um nichts,,
Wie ist Deutsche Post & DHL als Arbeitgeber bewertet?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
